neighborhood,occurance
central park,1077
downtown brooklyn,52
dyker heights,4
little italy,58
corona park,21
long island city,90
murray hill,647
concourse,10
bedford-stuyvesant,4
midtown east,312
prospect park,151
woodside,9
coney island,4
bowery,25
kew gardens hills,9
gravesend,6
forest hills,31
williamsbridge,4
jersey city,7
east village,647
glen oaks,5
bensonhurst,6
bushwick,70
jamaica,6
financial district,307
flatiron district,31
prospect heights,22
east harlem,40
brighton beach,7
forest park,28
jackson heights,23
kensington,6
flushing,44
inwood,57
kingsbridge,11
boerum hill,26
canarsie,4
upper east side,687
chelsea,449
brooklyn heights,66
maspeth,6
sheepshead bay,7
west harlem,18
noho,26
park slope,95
highbridge,27
windsor terrace,7
roosevelt island,36
cobble hill,23
sunset park,19
rego park,42
bedford park,8
ridgewood,11
astoria,181
nomad,20
gowanus,15
lower east side,165
tribeca,192
chinatown,53
clinton hill,65
whitestone,5
morris park,7
nolita,48
midwood,6
garment district,5
briarwood,8
kips bay,80
bay ridge,46
bayside,7
gramercy park,128
sunnyside,38
carroll gardens,28
williamsburg,136
battery park,192
allerton,6
theater district,74
west village,297
flatbush,40
greenpoint,42
upper west side,510
hell's kitchen,155
dumbo,22
east flatbush,5
washington heights,59
greenwich village,154
crown heights,81
fort greene,64
corona,23
soho,252
elmhurst,15
riverdale,27
woodhaven,4
central harlem,23
kew gardens,36
